name_x,name_y
Madrid-Atocha Cercanías,Asamblea De Madrid-Entrevías
Asamblea De Madrid-Entrevías,El Pozo
El Pozo,Vallecas
Vallecas,Santa Eugenia
Santa Eugenia,Vicálvaro
Vicálvaro,Coslada
Coslada,San Fernando De Henares
San Fernando De Henares,Torrejón De Ardoz
Torrejón De Ardoz,Soto Del Henares
Soto Del Henares,La Garena
La Garena,Alcalá De Henares
Alcalá De Henares,Alcalá De Henares-Universidad
Alcalá De Henares-Universidad,Meco
Meco,Azuqueca
Azuqueca,Guadalajara
Guadalajara,Azuqueca
Azuqueca,Meco
Meco,Alcalá De Henares-Universidad
Alcalá De Henares-Universidad,Alcalá De Henares
Alcalá De Henares,La Garena
La Garena,Soto Del Henares
Soto Del Henares,Torrejón De Ardoz
Torrejón De Ardoz,San Fernando De Henares
San Fernando De Henares,Coslada
Coslada,Vicálvaro
Vicálvaro,Santa Eugenia
Santa Eugenia,Vallecas
Vallecas,El Pozo
El Pozo,Asamblea De Madrid-Entrevías
Asamblea De Madrid-Entrevías,Madrid-Atocha Cercanías
Pitis,Las Rozas
Pozuelo,El Barrial-Centro Comercial Pozuelo
El Barrial-Centro Comercial Pozuelo,Majadahonda
Majadahonda,Las Rozas
Las Rozas,Pitis
Madrid-Chamartín-Clara Campoamor,Fuente De La Mora
Fuente De La Mora,Valdebebas
Valdebebas,Madrid-Aeropuerto T4
Madrid-Aeropuerto T4,Valdebebas
Valdebebas,Fuente De La Mora
Fuente De La Mora,Madrid-Chamartín-Clara Campoamor
Los Cotos,Puerto De Navacerrada
Puerto De Navacerrada,Cercedilla
Cercedilla,Puerto De Navacerrada
Puerto De Navacerrada,Los Cotos
Madrid-Chamartín-Clara Campoamor,Villalba De Guadarrama
Fuente De La Mora,San Fernando De Henares
Torrejón De Ardoz,Alcalá De Henares
Alcalá De Henares,Torrejón De Ardoz
San Fernando De Henares,Fuente De La Mora
